Starting with 1715 puzzles...
Resumed from log/results_opus-4-6.txt: 475 puzzles attempted, 390 verified
Resumed from log/results_opus-4-6_part2.txt: 231 puzzles attempted, 212 verified
Resumed from log/results_opus-4-6_part3.txt: 711 puzzles attempted, 531 verified
Resumed from log/results_opus-4-6_part4.txt: 230 puzzles attempted, 179 verified
Total resumed: 1647 puzzles, 1312 verified
Using bounded list encoding (max size: 200)
Running benchmarks on 1715 puzzles...

Skipping puzzle 1/1715: Study_1:0 (resumed: OK)

Skipping puzzle 2/1715: Study_2:0 (resumed: OK)

Skipping puzzle 3/1715: Study_3:0 (resumed: FAIL)

Skipping puzzle 4/1715: Study_4:0 (resumed: OK)

Skipping puzzle 5/1715: Study_5:0 (resumed: OK)

Skipping puzzle 6/1715: Study_6:0 (resumed: OK)

Skipping puzzle 7/1715: Study_7:0 (resumed: OK)

Skipping puzzle 8/1715: Study_8:0 (resumed: OK)

Skipping puzzle 9/1715: Study_9:0 (resumed: FAIL)

Skipping puzzle 10/1715: Study_10:0 (resumed: OK)

Skipping puzzle 11/1715: Study_11:0 (resumed: OK)

Skipping puzzle 12/1715: Study_12:0 (resumed: OK)

Skipping puzzle 13/1715: Study_13:0 (resumed: OK)

Skipping puzzle 14/1715: Study_14:0 (resumed: OK)

Skipping puzzle 15/1715: Study_15:0 (resumed: OK)

Skipping puzzle 16/1715: Study_16:0 (resumed: OK)

Skipping puzzle 17/1715: Study_17:0 (resumed: OK)

Skipping puzzle 18/1715: Study_18:0 (resumed: OK)

Skipping puzzle 19/1715: Study_19:0 (resumed: OK)

Skipping puzzle 20/1715: Study_20:0 (resumed: OK)

Skipping puzzle 21/1715: Study_21:0 (resumed: OK)

Skipping puzzle 22/1715: Study_22:0 (resumed: FAIL)

Skipping puzzle 23/1715: Study_23:0 (resumed: OK)

Skipping puzzle 24/1715: Study_24:0 (resumed: OK)

Skipping puzzle 25/1715: Study_25:0 (resumed: OK)

Skipping puzzle 26/1715: Study_26:0 (resumed: OK)

Skipping puzzle 27/1715: Study_27:0 (resumed: FAIL)

Skipping puzzle 28/1715: Study_28:0 (resumed: OK)

Skipping puzzle 29/1715: Study_29:0 (resumed: FAIL)

Skipping puzzle 30/1715: Study_30:0 (resumed: OK)

